recording	collection	word	speaker_lang	context	prompt	token_times_gold	pre_phones_gold	pre_times_gold	v_phones_gold	v_times_gold	post_phones_gold	post_times_gold	token_times_mfa	pre_phones_mfa	pre_times_mfa	v_phones_mfa	v_times_mfa	post_phones_mfa	post_times_mfa
021618-1770241	samromur_unverified_22.07	malla	L1	[_TOKEN_] hefur þú prófað nýja leikinn?	Malla, hefur þú prófað nýja leikinn?	0.62-1.04	m	0.62-0.7041764658505154	a	0.7041764658505154-0.77	l	0.77-0.9201920908505153	0.62-1.04	m	0.62-0.74	a	0.74-0.77	l	0.77-0.91
028700-2842374	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	0.67-1.2	m	0.67-0.78	a	0.78-0.8708333557058994	l	0.8708333557058994-1.0179014309493128	0.67-1.2	m	0.67-0.78	a	0.78-0.87	t l	0.87-0.9,0.9-1.01
016559-1055206	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.7-1.01	m	0.7-0.7265164796320159	a	0.7265164796320159-0.77	l	0.77-0.89	0.7-1.01	m	0.7-0.73	a	0.73-0.77	l	0.77-0.89
013022-0901050	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvernig verður veðrið á morgun?	Malla, hvernig verður veðrið á morgun?	0.65-1.04	m	0.65-0.72	a	0.72-0.77	l	0.77-0.8860132758805841	0.65-1.04	m	0.65-0.72	a	0.72-0.77	l	0.77-0.88
025479-2841500	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í hátalaranum.	Malla, hækkaðu í hátalaranum.	1.96-2.55	m	1.96-2.02	a	2.02-2.105360310173253	l	2.105360310173253-2.21	1.96-2.55	m	1.96-2.02	a	2.02-2.06	l	2.06-2.21
022199-1693108	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.58-0.99	m	0.58-0.6513025531572165	a	0.6513025531572165-0.71	l	0.71-0.8491312956400345	0.58-0.99	m	0.58-0.64	a	0.64-0.71	l	0.71-0.84
011688-0301545	samromur_unverified_22.07	malla	L1	[_TOKEN_] hefur þú prófað nýja leikinn?	Malla, hefur þú prófað nýja leikinn?	1.23-1.68	m	1.23-1.3122356233891752	a	1.3122356233891752-1.4060862999355668	l	1.4060862999355668-1.55	1.23-1.68	m	1.23-1.3	a	1.3-1.39	l	1.39-1.55
001345-0009937	samromur_21.05	malla	L1	„Alla [_TOKEN_] sagði Dúlla Kalla.	„Alla malla, sagði Dúlla Kalla.	0.98-1.51	m	0.98-1.1	a	1.1-1.2136192323525201	l	1.2136192323525201-1.38	0.98-1.51	m	0.98-1.1	a	1.1-1.19	l	1.19-1.38
029658-2905006	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.95-1.41	m	0.95-1.0446323292525772	a	1.0446323292525772-1.1584549953465062	l	1.1584549953465062-1.28	0.95-1.41	m	0.95-1.07	a	1.07-1.11	t l	1.11-1.22,1.22-1.28
026533-2498595	samromur_unverified_22.07	malla	L1	[_TOKEN_] hefur þú prófað nýja leikinn?	Malla, hefur þú prófað nýja leikinn?	0.81-1.17	m	0.81-0.9	a	0.9-0.9693210373711341	l	0.9693210373711341-1.0953036404639176	0.81-1.17	m	0.81-0.9	a	0.9-0.96	l	0.96-1.09
026196-2053125	samromur_unverified_22.07	malla	L1	[_TOKEN_] bókaðu hring í golf á mánudaginn.	Malla, bókaðu hring í golf á mánudaginn.	0.38-0.74	m	0.38-0.44	a	0.44-0.5164151095360825	l	0.5164151095360825-0.63	0.38-0.74	m	0.38-0.44	a	0.44-0.5	l	0.5-0.63
022775-1568005	samromur_unverified_22.07	malla	L1	alla [_TOKEN_] var því ágæt lausn	alla malla var því ágæt lausn	0.79-1.26	m	0.79-0.88	a	0.88-0.96	l	0.96-1.1309134047465637	0.79-1.26	m	0.79-0.88	a	0.88-0.96	l	0.96-1.12
011854-0304276	samromur_unverified_22.07	malla	L1	[_TOKEN_] hækkaðu í græjunum.	Malla, hækkaðu í græjunum.	0.83-1.29	m	0.83-0.9	a	0.9-0.98	l	0.98-1.1791072898768615	0.83-1.29	m	0.83-0.9	a	0.9-0.98	l	0.98-1.17
029406-2907628	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvenær kemur fimman?	Malla, hvenær kemur fimman?	0.64-1.09	m	0.64-0.74	a	0.74-0.79	l	0.79-0.89	0.64-1.09	m	0.64-0.74	a	0.74-0.79	l	0.79-0.89
025864-1988322	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvernig verður veðrið á morgun?	Malla, hvernig verður veðrið á morgun?	1.22-1.84	m	1.22-1.31	a	1.31-1.4122006103235967	l	1.4122006103235967-1.61	1.22-1.84	m	1.22-1.31	a	1.31-1.4	l	1.4-1.61
010637-0282507	samromur_unverified_22.07	malla	L1	[_TOKEN_] hvaða leikir eru í kvöld?	Malla, hvaða leikir eru í kvöld?	0.36-0.99	m	0.36-0.46065459890463917	a	0.46065459890463917-0.5553006201675258	l	0.5553006201675258-0.6599679848582475	0.36-0.99	m	0.36-0.45	a	0.45-0.52	l	0.52-0.65
021739-1654849	samromur_unverified_22.07	malla	L1	[_TOKEN_] bókaðu hring í golf á mánudaginn.	Malla, bókaðu hring í golf á mánudaginn.	1.18-1.58	m	1.18-1.2686517396907218	a	1.2686517396907218-1.33	l	1.33-1.4524647408361973	1.18-1.58	m	1.18-1.26	a	1.26-1.33	l	1.33-1.44
018031-1160406	samromur_unverified_22.07	balla	L1	Hún hafði stytt gulleitan serk upp um sig, stóð berfætt í [_TOKEN_] og stappaði þvott.	Hún hafði stytt gulleitan serk upp um sig, stóð berfætt í balla og stappaði þvott.	3.61-3.9649840561224488	p	3.61-3.67	a	3.67-3.73	l	3.73-3.88	3.61-3.93	p	3.61-3.67	a	3.67-3.73	l	3.73-3.88
007530-0073341	samromur_21.05	baki	L1	Hann skreið af [_TOKEN_] og við hin gerðum slíkt hið sama.	Hann skreið af baki og við hin gerðum slíkt hið sama.	1.0-1.55	p	1.0-1.06	aː	1.06-1.28	cʰ	1.28-1.4	1.0-1.55	p	1.0-1.06	aː	1.06-1.28	cʰ	1.28-1.4
006781-0065131	samromur_21.05	baki	L1	Úlfur rumskaði að [_TOKEN_] þeirra.	Úlfur rumskaði að baki þeirra.	3.67-4.0	p	3.67-3.7362923188933386	aː	3.7362923188933386-3.87	cʰ	3.87-3.95	3.67-4.0	p	3.67-3.72	aː	3.72-3.87	cʰ	3.87-3.95
006311-0052680	samromur_21.05	baki	L1	Ullur hrópaði að [_TOKEN_] þeim.	Ullur hrópaði að baki þeim.	3.22-3.61	p	3.22-3.27	aː	3.27-3.48	cʰ	3.48-3.55	3.22-3.61	p	3.22-3.27	aː	3.27-3.48	cʰ	3.48-3.55
006911-0061311	samromur_21.05	baki	L1	Þá hafði ég lagt að [_TOKEN_] rúma áttatíu vetur sem hver annar maður.	Þá hafði ég lagt að baki rúma áttatíu vetur sem hver annar maður.	2.86-3.3	p	2.86-2.91	aː	2.91-3.15	cʰ	3.15-3.26	2.86-3.3	p	2.86-2.91	aː	2.91-3.15	cʰ	3.15-3.26
001702-0012657	samromur_21.05	baki	L1	Allir þessir faghópar eiga að [_TOKEN_] framhaldsmenntun umfram grunnpróf í háskóla.	Allir þessir faghópar eiga að baki framhaldsmenntun umfram grunnpróf í háskóla.	2.72-3.04	p	2.72-2.78	aː	2.78-2.92	cʰ	2.92-2.99	2.72-3.04	p	2.72-2.78	aː	2.78-2.92	cʰ	2.92-2.99
007530-0073800	samromur_21.05	baki	L1	Barónarnir riðu næstir á vaðið, enda áttu þeir sitt eigið volk að [_TOKEN_]	Barónarnir riðu næstir á vaðið, enda áttu þeir sitt eigið volk að baki.	4.92-5.32	p	4.92-5.013006512154674	aː	5.013006512154674-5.099321482020791	c	5.099321482020791-5.21	4.92-5.32	p	4.92-5.05	aː	5.05-5.08	c	5.08-5.21
006623-0056625	samromur_21.05	baki	L1	Hárin á [_TOKEN_] Fenris risu.	Hárin á baki Fenris risu.	1.92-2.37	p	1.92-1.98	aː	1.98-2.21	cʰ	2.21-2.28	1.92-2.37	p	1.92-1.98	aː	1.98-2.21	cʰ	2.21-2.28
006311-0051796	samromur_21.05	baki	L1	Edda stóð í dyrunum að [_TOKEN_] hans og skimaði upp í klettana.	Edda stóð í dyrunum að baki hans og skimaði upp í klettana.	2.74-3.1102573653932923	p	2.74-2.8	aː	2.8-3.01	c	3.01-3.07	2.74-3.11	p	2.74-2.8	aː	2.8-3.01	c	3.01-3.07
000043-0000268	samromur_21.05	baki	L1	Margar orsakir lágu þar að [_TOKEN_]	Margar orsakir lágu þar að baki.	2.38-2.78	p	2.38-2.4477021397079644	aː	2.4477021397079644-2.594569833758039	c	2.594569833758039-2.67	2.38-2.78	p	2.38-2.44	aː	2.44-2.55	c	2.55-2.67
008194-0124961	samromur_21.05	baki	L1	Þá á hann að [_TOKEN_] einn landsleik fyrir hollenska landsliðið.	Þá á hann að baki einn landsleik fyrir hollenska landsliðið.	1.49-1.9603818306839782	p	1.49-1.56	aː	1.56-1.78	c	1.78-1.8641151963758442	1.49-1.99	p	1.49-1.56	aː	1.56-1.78	c	1.78-1.85
006824-0059091	samromur_21.05	baki	L1	Ég sit á rúmstokknum og sný í hann [_TOKEN_] þreifa á brjóstunum mínum.	Ég sit á rúmstokknum og sný í hann baki, þreifa á brjóstunum mínum.	3.65-4.12	p	3.65-3.7	aː	3.7-3.863531731585973	c	3.863531731585973-3.99	3.65-4.12	p	3.65-3.7	aː	3.7-3.84	c	3.84-3.99
002413-0017817	samromur_21.05	baki	L1	Þar liggur að [_TOKEN_] fornháþýskt orð.	Þar liggur að baki fornháþýskt orð.	1.57-1.95	p	1.57-1.670898353759657	aː	1.670898353759657-1.8236779517048902	c	1.8236779517048902-1.91	1.57-1.95	p	1.57-1.65	aː	1.65-1.79	c	1.79-1.91
007302-0069239	samromur_21.05	baki	L1	Hurðin small að [_TOKEN_] honum og ég varpaði öndinni léttar.	Hurðin small að baki honum og ég varpaði öndinni léttar.	3.33-3.67	p	3.33-3.4	aː	3.4-3.57	c	3.57-3.64	3.33-3.67	p	3.33-3.4	aː	3.4-3.57	c	3.57-3.64
006858-0059808	samromur_21.05	baki	L1	Verðirnir tveir sneru [_TOKEN_] í okkur.	Verðirnir tveir sneru baki í okkur.	2.04-2.4840980059054316	p	2.04-2.0936955466569587	aː	2.0936955466569587-2.312113214415726	c	2.312113214415726-2.41	2.04-2.51	p	2.04-2.09	aː	2.09-2.3	c	2.3-2.41
004695-0036258	samromur_21.05	baki	L1	Hann skreið af [_TOKEN_] og við hin gerðum slíkt hið sama.	Hann skreið af baki og við hin gerðum slíkt hið sama.	1.64-2.28	p	1.64-1.69	aː	1.69-1.9	cʰ	1.9-1.97	1.64-2.28	p	1.64-1.69	aː	1.69-1.9	cʰ	1.9-1.97
004598-0035723	samromur_unverified_22.07	baki	L1	Kláðabólur á [_TOKEN_]	Kláðabólur á baki.	1.576494357480888-2.02	p	1.576494357480888-1.62	aː	1.62-1.82	c	1.82-1.91	1.56-2.02	p	1.56-1.62	aː	1.62-1.82	c	1.82-1.91
007354-0070482	samromur_21.05	baki	L1	Margrét gat ímyndað sér svipinn á Njáli en sneri [_TOKEN_] í hann.	Margrét gat ímyndað sér svipinn á Njáli en sneri baki í hann.	4.64-5.151235489220564	p	4.64-4.7	aː	4.7-4.93	c	4.93-5.02	4.64-5.23	p	4.64-4.7	aː	4.7-4.93	c	4.93-5.02
